"channel","position","title","url","video_id","publication","duration","transcript_status","transcript_file","timestamp_status","timestamp_file"
"Joanne Toller - Fundraising Coach","1","The Biggest Fundraising Opportunity During a Bad Economy","https://www.youtube.com/watch?v=mMlYgNvOiWU","mMlYgNvOiWU","2026-09-02T09:00:06-07:00","PT12M16S","retrieved","transcripts/cause-specialist/01-mMlYgNvOiWU.md","official caption timestamps available","official-captions/mMlYgNvOiWU.en-orig.vtt"
"Joanne Toller - Fundraising Coach","12","Claude AI for Nonprofits: Save Hours on Fundraising Work","https://www.youtube.com/watch?v=YGRD7dqsYFk","YGRD7dqsYFk","2026-06-10T09:15:13-07:00","PT7M8S","retrieved","transcripts/cause-specialist/12-YGRD7dqsYFk.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","13","7 Fundraiser Ideas That Actually Work (Most Nonprofits Ignore These)","https://www.youtube.com/watch?v=frYHWEoL6bg","frYHWEoL6bg","2026-06-03T09:15:37-07:00","PT9M54S","retrieved","transcripts/cause-specialist/13-frYHWEoL6bg.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","14","Why Your Nonprofit Looks Unprofessional (And How to Fix It for Free)","https://www.youtube.com/watch?v=qV2oypyXG3o","qV2oypyXG3o","2026-05-27T09:30:05-07:00","PT7M54S","retrieved","transcripts/cause-specialist/14-qV2oypyXG3o.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","15","Why Most Nonprofits Never Ask for Billions in Available Donations","https://www.youtube.com/watch?v=jT2pUGBDXLo","jT2pUGBDXLo","2026-05-20T07:30:36-07:00","PT6M14S","retrieved","transcripts/cause-specialist/15-jT2pUGBDXLo.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","16","Most Nonprofits Are Fundraising Wrong","https://www.youtube.com/watch?v=EEvMEzOWnjI","EEvMEzOWnjI","2026-05-13T09:30:28-07:00","PT11M8S","retrieved","transcripts/cause-specialist/16-EEvMEzOWnjI.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","17","Is Zeffy REALLY Free? A Nonprofit Coach Explains","https://www.youtube.com/watch?v=QRGUAqOmDKc","QRGUAqOmDKc","2026-05-08T05:15:39-07:00","PT8M7S","retrieved","transcripts/cause-specialist/17-QRGUAqOmDKc.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","18","The #1 Mistake That Kills Nonprofit Campaigns","https://www.youtube.com/watch?v=EFrneGFHOn4","EFrneGFHOn4","2026-04-27T08:30:00-07:00","PT7M57S","retrieved","transcripts/cause-specialist/18-EFrneGFHOn4.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","19","The $20K Mistake Killing Your Gala Fundraiser","https://www.youtube.com/watch?v=hfXIFn439tU","hfXIFn439tU","2026-04-20T08:30:00-07:00","PT8M30S","retrieved","transcripts/cause-specialist/19-hfXIFn439tU.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","20","How to Get Started on Zeffy for Free in Under 10 Minutes","https://www.youtube.com/watch?v=Ib-BZHen7yc","Ib-BZHen7yc","2026-04-13T08:30:00-07:00","PT7M42S","retrieved","transcripts/cause-specialist/20-Ib-BZHen7yc.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","21","Fundraising Is Changing Fast. Here’s What Small Nonprofits Need to Know Now","https://www.youtube.com/watch?v=fUocc4b13ro","fUocc4b13ro","2026-03-30T08:30:00-07:00","PT9M20S","retrieved","transcripts/cause-specialist/21-fUocc4b13ro.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","22","Grant LOI Getting Rejected? Here's Why","https://www.youtube.com/watch?v=UCJO7aNMfeU","UCJO7aNMfeU","2026-03-23T08:30:00-07:00","PT5M35S","retrieved","transcripts/cause-specialist/22-UCJO7aNMfeU.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","23","Most Nonprofits Skip This Critical Fundraising Step","https://www.youtube.com/watch?v=pOfNNXjQa_k","pOfNNXjQa_k","2026-03-16T08:30:00-07:00","PT8M4S","retrieved","transcripts/cause-specialist/23-pOfNNXjQa_k.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","24","The Real Reason Donors Ignore Your Fundraising Emails","https://www.youtube.com/watch?v=1K93EfwIYIo","1K93EfwIYIo","2026-03-09T14:44:54-07:00","PT8M3S","retrieved","transcripts/cause-specialist/24-1K93EfwIYIo.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","25","Small Nonprofits Keep Making These 4 Fundraising Mistakes","https://www.youtube.com/watch?v=xl1Ccs9HGaA","xl1Ccs9HGaA","2026-03-02T08:30:00-08:00","PT7M45S","retrieved","transcripts/cause-specialist/25-xl1Ccs9HGaA.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","26","Matching Donations - Double Gifts Without Asking for More","https://www.youtube.com/watch?v=JgBckjNfw9M","JgBckjNfw9M","2026-02-23T08:30:00-08:00","PT17M57S","retrieved","transcripts/cause-specialist/26-JgBckjNfw9M.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","27","The Tells That Funders Use to Reject AI Fundraising","https://www.youtube.com/watch?v=hdk5pvzKDHI","hdk5pvzKDHI","2026-02-16T08:30:00-08:00","PT5M33S","retrieved","transcripts/cause-specialist/27-hdk5pvzKDHI.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","28","Here's How Small Nonprofits Find Donors","https://www.youtube.com/watch?v=FSQFw_ZvKBU","FSQFw_ZvKBU","2026-02-09T08:30:00-08:00","PT7M21S","retrieved","transcripts/cause-specialist/28-FSQFw_ZvKBU.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","29","How to Start a Monthly Donor Program Without a Big Donor List","https://www.youtube.com/watch?v=FjEOQXbWeRM","FjEOQXbWeRM","2026-02-02T08:30:00-08:00","PT12M36S","retrieved","transcripts/cause-specialist/29-FjEOQXbWeRM.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","30","Stop Pitching Corporations. Start Building Real Partnerships.","https://www.youtube.com/watch?v=gRRLWd6hW_g","gRRLWd6hW_g","2026-01-26T08:30:00-08:00","PT12M53S","retrieved","transcripts/cause-specialist/30-gRRLWd6hW_g.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","31","Grant Writing With AI: Why Your Proposal Might Never Be Read","https://www.youtube.com/watch?v=0SkEjafvRe8","0SkEjafvRe8","2026-01-19T08:30:00-08:00","PT8M58S","retrieved","transcripts/cause-specialist/31-0SkEjafvRe8.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","32","Why Logical Appeals Don't Raise Money","https://www.youtube.com/watch?v=9uM_Gv8CbVE","9uM_Gv8CbVE","2026-01-12T08:30:10-08:00","PT6M48S","retrieved","transcripts/cause-specialist/32-9uM_Gv8CbVE.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","33","Nonprofit Trends for 2026 That Will Change Fundraising Forever","https://www.youtube.com/watch?v=_xlX_Ilnvgk","_xlX_Ilnvgk","2026-01-05T08:30:16-08:00","PT10M53S","retrieved","transcripts/cause-specialist/33-_xlX_Ilnvgk.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","34","The Truth About Running a Nonprofit (From a 30-Year Founder)","https://www.youtube.com/watch?v=FRVdi2VYYlE","FRVdi2VYYlE","2025-12-22T08:30:06-08:00","PT18M58S","retrieved","transcripts/cause-specialist/34-FRVdi2VYYlE.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","35","Your Board Doesn't Understand Their Role (Yet)","https://www.youtube.com/watch?v=5p4qDNjmy3M","5p4qDNjmy3M","2025-12-15T08:30:05-08:00","PT9M55S","retrieved","transcripts/cause-specialist/35-5p4qDNjmy3M.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","36","The Easy Way to Find New Donors While Fundraising Online","https://www.youtube.com/watch?v=_gRBVWO_HQU","_gRBVWO_HQU","2025-12-08T08:30:30-08:00","PT10M4S","retrieved","transcripts/cause-specialist/36-_gRBVWO_HQU.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","37","Give Me 10 Minutes and I’ll Teach You How to Raise $100K - This Year","https://www.youtube.com/watch?v=DUqF9eh_2bA","DUqF9eh_2bA","2025-12-01T08:30:09-08:00","PT10M8S","retrieved","transcripts/cause-specialist/37-DUqF9eh_2bA.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","38","Nonprofit Sponsorship Packages That Get Funded (Not Ghosted)","https://www.youtube.com/watch?v=vvKuDuY4tE0","vvKuDuY4tE0","2025-11-24T08:30:29-08:00","PT10M49S","retrieved","transcripts/cause-specialist/38-vvKuDuY4tE0.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","39","This Nonprofit Branding Mistake Is Costing You Big Funding","https://www.youtube.com/watch?v=38oJ_39gMXU","38oJ_39gMXU","2025-11-17T08:00:06-08:00","PT9M45S","retrieved","transcripts/cause-specialist/39-38oJ_39gMXU.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","40","Donation Requests That Get Ignored vs. Funded (Donor POV)","https://www.youtube.com/watch?v=tDOHgnbHszI","tDOHgnbHszI","2025-11-10T07:45:06-08:00","PT6M8S","retrieved","transcripts/cause-specialist/40-tDOHgnbHszI.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","1","I Can't Believe Nobody Talks About This","https://www.youtube.com/watch?v=5JAVglJHzG4","5JAVglJHzG4","2026-09-07T09:00:06-07:00","PT11M13S","retrieved","transcripts/monica-main/01-5JAVglJHzG4.md","official caption timestamps available","official-captions/5JAVglJHzG4.en-orig.vtt"
"Monica Main","2","Low FICO...$50,000 Approval? Here's How","https://www.youtube.com/watch?v=7z97i1FlBL4","7z97i1FlBL4","2026-09-03T09:00:29-07:00","PT14M38S","retrieved","transcripts/monica-main/02-7z97i1FlBL4.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","3","Before You Pay ANY Collections...Watch This First","https://www.youtube.com/watch?v=E9LhTyRzBoI","E9LhTyRzBoI","2026-08-31T09:00:06-07:00","PT16M50S","retrieved","transcripts/monica-main/03-E9LhTyRzBoI.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","4","Download My FREE Business Blueprint for a LIMITED TIME","https://www.youtube.com/watch?v=7AE_2IV_Zl8","7AE_2IV_Zl8","2026-08-27T09:00:27-07:00","PT9M6S","retrieved","transcripts/monica-main/04-7AE_2IV_Zl8.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","5","Most People Have No Idea This $50K Loan Exists","https://www.youtube.com/watch?v=LvaMZfgFZhE","LvaMZfgFZhE","2026-08-24T09:00:06-07:00","PT10M31S","retrieved","transcripts/monica-main/05-LvaMZfgFZhE.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","6","Fastest & Cheapest Business You Can Start This Week","https://www.youtube.com/watch?v=ygn_aki6-YE","ygn_aki6-YE","2026-08-20T09:00:37-07:00","PT16M37S","retrieved","transcripts/monica-main/06-ygn_aki6-YE.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","7","Get a $5K+ Loan with a 550 FICO (Even After Being Turned Down)","https://www.youtube.com/watch?v=km0D2yyg544","km0D2yyg544","2026-08-17T09:00:06-07:00","PT11M11S","retrieved","transcripts/monica-main/07-km0D2yyg544.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","8","How to Make Money in Real Estate WITHOUT Buying Any Property","https://www.youtube.com/watch?v=EFKZeCId6n0","EFKZeCId6n0","2026-08-13T09:00:07-07:00","PT10M34S","retrieved","transcripts/monica-main/08-EFKZeCId6n0.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","9","Little-Known Credit Secret for $15,000+ in Unsecured Credit","https://www.youtube.com/watch?v=fmv_fuwLcug","fmv_fuwLcug","2026-08-10T09:00:07-07:00","PT22M59S","retrieved","transcripts/monica-main/09-fmv_fuwLcug.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","10","3 Profitable AI Writing Businesses You Can Start This Weekend","https://www.youtube.com/watch?v=T65oLsH2NZk","T65oLsH2NZk","2026-08-06T09:00:38-07:00","PT12M6S","retrieved","transcripts/monica-main/10-T65oLsH2NZk.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","11","Delete Collections in 30 Days Using This One Secret ""Trick""","https://www.youtube.com/watch?v=g8NSX6A7-4s","g8NSX6A7-4s","2026-08-03T09:00:05-07:00","PT40M44S","retrieved","transcripts/monica-main/11-g8NSX6A7-4s.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","12","3 Ways to Earn Extra Money WITHOUT a Second Job","https://www.youtube.com/watch?v=iwGtHaKrZhI","iwGtHaKrZhI","2026-07-30T09:00:06-07:00","PT16M3S","retrieved","transcripts/monica-main/12-iwGtHaKrZhI.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","13","5 Credit Cards Approving Bad Credit in 60 Seconds","https://www.youtube.com/watch?v=VGVUKr63DkU","VGVUKr63DkU","2026-07-27T09:00:06-07:00","PT12M23S","retrieved","transcripts/monica-main/13-VGVUKr63DkU.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","14","My Secret to Making $10,000 in the Next 30 Days","https://www.youtube.com/watch?v=i7wGeEM7Z-A","i7wGeEM7Z-A","2026-07-24T09:00:06-07:00","PT11M18S","retrieved","transcripts/monica-main/14-i7wGeEM7Z-A.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","15","3 Best ""No Ding"" Credit Cards for 2026","https://www.youtube.com/watch?v=10Bl7fAfIHE","10Bl7fAfIHE","2026-07-22T09:00:06-07:00","PT12M33S","retrieved","transcripts/monica-main/15-10Bl7fAfIHE.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","16","The Cheapest Business I've Ever Seen...And It Can Pay Big","https://www.youtube.com/watch?v=VM7n6JIAY6k","VM7n6JIAY6k","2026-07-20T09:00:11-07:00","PT14M35S","retrieved","transcripts/monica-main/16-VM7n6JIAY6k.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","17","Debt Collector Threat or Lawsuit? Here's What to Do","https://www.youtube.com/watch?v=rKK89vqBS_c","rKK89vqBS_c","2026-07-17T09:00:06-07:00","PT23M2S","retrieved","transcripts/monica-main/17-rKK89vqBS_c.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","18","The $13K Loan Secret Hiding in Plain Sight","https://www.youtube.com/watch?v=fgPoiGxog2M","fgPoiGxog2M","2026-07-15T09:00:07-07:00","PT16M29S","retrieved","transcripts/monica-main/18-fgPoiGxog2M.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","19","How to Get a FREE Luxury Car (Legally)","https://www.youtube.com/watch?v=KjGzbs7gln0","KjGzbs7gln0","2026-07-13T09:00:06-07:00","PT10M42S","retrieved","transcripts/monica-main/19-KjGzbs7gln0.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","20","From $7 to Seven Figures: The Whiteboard Breakdown","https://www.youtube.com/watch?v=om6dVRIjhEk","om6dVRIjhEk","2026-07-10T09:00:06-07:00","PT27M43S","retrieved","transcripts/monica-main/20-om6dVRIjhEk.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","21","I Found $100K in Unsecured Credit During a Simple Audit","https://www.youtube.com/watch?v=9Z8TmLRI75I","9Z8TmLRI75I","2026-07-08T09:00:06-07:00","PT28M48S","retrieved","transcripts/monica-main/21-9Z8TmLRI75I.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","22","My Fastest Credit Repair Secret (Learn It in 23 Minutes)","https://www.youtube.com/watch?v=hK7teCjJcdU","hK7teCjJcdU","2026-07-06T09:00:06-07:00","PT22M57S","retrieved","transcripts/monica-main/22-hK7teCjJcdU.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","23","5 Most Dangerous Scams Happening Right Now","https://www.youtube.com/watch?v=T_SrSj6kI_w","T_SrSj6kI_w","2026-07-03T09:00:06-07:00","PT14M0S","retrieved","transcripts/monica-main/23-T_SrSj6kI_w.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","24","How I'm Using AI to Create Cash Flow in 2026","https://www.youtube.com/watch?v=r37yN7-dDJc","r37yN7-dDJc","2026-07-01T09:00:06-07:00","PT11M3S","retrieved","transcripts/monica-main/24-r37yN7-dDJc.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","25","The Credit Stack Attack: How I Build Six Figures in Unsecured Credit","https://www.youtube.com/watch?v=6civ8y8LtTI","6civ8y8LtTI","2026-06-29T09:00:06-07:00","PT30M6S","retrieved","transcripts/monica-main/25-6civ8y8LtTI.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","26","CAUTION: The Risky Strategy Nobody Talks About","https://www.youtube.com/watch?v=Pr_HVtUFND4","Pr_HVtUFND4","2026-06-26T09:00:07-07:00","PT14M44S","retrieved","transcripts/monica-main/26-Pr_HVtUFND4.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","27","The Small Channel Secret Nobody Talks About","https://www.youtube.com/watch?v=cMmD71dkQDw","cMmD71dkQDw","2026-06-24T09:00:22-07:00","PT23M53S","retrieved","transcripts/monica-main/27-cMmD71dkQDw.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","28","Want $60K to Start a Business? WATCH THIS!","https://www.youtube.com/watch?v=adFqBudynng","adFqBudynng","2026-06-22T09:00:06-07:00","PT12M48S","retrieved","transcripts/monica-main/28-adFqBudynng.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","29","This High-Income Skill Is Easier to Learn Than Most People Think","https://www.youtube.com/watch?v=Ys97Hv6KIG8","Ys97Hv6KIG8","2026-06-19T09:00:06-07:00","PT17M12S","retrieved","transcripts/monica-main/29-Ys97Hv6KIG8.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","30","3 Secret Cash Flow Side Hustles Using AI","https://www.youtube.com/watch?v=MHzTD5cGai0","MHzTD5cGai0","2026-06-17T09:00:06-07:00","PT10M7S","retrieved","transcripts/monica-main/30-MHzTD5cGai0.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","31","How I'd Turn a 610 Score Into $50,000 in Unsecured Credit","https://www.youtube.com/watch?v=cQRPGJk23Xg","cQRPGJk23Xg","2026-06-15T09:00:06-07:00","PT36M6S","retrieved","transcripts/monica-main/31-cQRPGJk23Xg.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","32","Once You Understand THIS, Making Money Becomes EASY!","https://www.youtube.com/watch?v=viyhBg2LwnA","viyhBg2LwnA","2026-06-12T09:00:06-07:00","PT18M9S","retrieved","transcripts/monica-main/32-viyhBg2LwnA.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","33","He Was a TOTAL Fraud...PROOF INSIDE!","https://www.youtube.com/watch?v=Ki6kNHl_sK0","Ki6kNHl_sK0","2026-06-10T09:00:06-07:00","PT12M30S","retrieved","transcripts/monica-main/33-Ki6kNHl_sK0.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","34","AMEX is Shutting Down Accounts...HERE'S WHY","https://www.youtube.com/watch?v=EX94n1Zq1cI","EX94n1Zq1cI","2026-06-08T09:00:14-07:00","PT13M48S","retrieved","transcripts/monica-main/34-EX94n1Zq1cI.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","35","One book is making $600K? This is CRAZY!!","https://www.youtube.com/watch?v=o2Z4CGSTHFE","o2Z4CGSTHFE","2026-06-05T09:00:06-07:00","PT26M54S","retrieved","transcripts/monica-main/35-o2Z4CGSTHFE.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","36","Get $25,000 to $50,000 in Credit From This SECRET Bank","https://www.youtube.com/watch?v=bcFkN8HdC8o","bcFkN8HdC8o","2026-06-03T09:00:06-07:00","PT13M36S","retrieved","transcripts/monica-main/36-bcFkN8HdC8o.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","37","Build a $5K–$50K/Month Funding Consulting Business From Home (Complete Masterclass)","https://www.youtube.com/watch?v=65op4qB0i5s","65op4qB0i5s","2026-06-01T09:00:06-07:00","PT84M30S","retrieved","transcripts/monica-main/37-65op4qB0i5s.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","38","I Was Sued—and This Is How I Fought Back","https://www.youtube.com/watch?v=_d-fTvkWqL4","_d-fTvkWqL4","2026-05-29T09:00:06-07:00","PT18M5S","retrieved","transcripts/monica-main/38-_d-fTvkWqL4.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","39","My Bank ‘Insider’ to Get an Unsecured $25K Credit Card","https://www.youtube.com/watch?v=bzlU-d7WQfA","bzlU-d7WQfA","2026-05-27T09:00:06-07:00","PT11M57S","retrieved","transcripts/monica-main/39-bzlU-d7WQfA.md","timestamps unavailable; no timestamps inferred",""
"Monica Main","40","7 Banks Offering $10,000 (Soft Pull – Check Before You Apply)","https://www.youtube.com/watch?v=PLDqDdyVh6A","PLDqDdyVh6A","2026-05-25T09:00:06-07:00","PT10M17S","retrieved","transcripts/monica-main/40-PLDqDdyVh6A.md","timestamps unavailable; no timestamps inferred",""
